7 PC13 USER_Btn
8 PC14 RCC_OSC32_IN
9 PC15 RCC_OSC32_OUT
23 PH0 OSC_IN   MCO [STMe2F103CBT6_PA8)
24 PH1 OSC_OUT
25 NRST
27 PC1 RMII_MDC
35 PA1 RMII_REF_CLK       # Morpho: Prebind
36 PA2 RMII_MDIO
43 PA7 RMII_CRS_DV        # Arduino: @D11 always; Jumper for RMII_CRS_DV
44 PC4 RMII_RXD0
45 PC5 RMII_RXD1
46 PB0 LD1                # Daughter Zio (why not!)
91 PG6 USB_PowerSwitchOn
92 PB7 USB_OverCurrent
100 PA8 USB_SOF
101 PA9 USB_VBUS
102 PA10 USB_ID           # 
103 PA11 USB_DM
104 PA12 USB_DP
105 PA13 TMS
109 PA14 TCK
126 PG11 RMII_TX_EN
128 PG13 RMII_TXD0
133 PB3 SWO               # Daughter: Zio (avoid by prepinding)
137 PB7 LD2 (Blue)
138 BOOT0
143 PDR_ON
